"tx","ty"
0.836716,0.413758
-0.323509,0.143719
-0.443045,0.236347
-0.618648,0.332929
-0.613807,0.339062
-0.608967,0.345195
-0.604029,0.351103
-0.599091,0.357012
-0.596989,0.364611
-0.596304,0.373055
-0.596377,0.382053
-0.597966,0.39216
-0.599553,0.402266
-0.342601,0.229866
-0.688174,0.548932
-0.58249,0.664568
-0.356658,0.475726
-0.891641,1.18931
-0.534981,0.713581
-0.607303,0.898776
-0.610772,1.21257
-0.152692,0.30314
-0.055259,0.138838
-0.221034,0.555346
-0.386808,0.971852
-0.375188,0.973551
-0.363569,0.975251
-0.352408,0.977793
-0.341477,0.980756
-0.286448,0.842339
-0.143224,0.421169
-0.16578,0.616681
-0.201609,1.24434
-0.0504017,0.311082
-0.0261608,0.312769
-0.104642,1.25106
0.160884,0.643031
0.0499602,0.158755
0.199839,0.635014
0.349716,1.11127
0.362728,1.1106
0.375739,1.10994
0.388877,1.109
0.402078,1.10793
0.352181,0.949045
0.17609,0.474521
0.41032,0.980002
0.489699,1.09506
0.416672,0.769916
0.916886,1.34663
0.229219,0.336653
0.334099,0.373915
0.835243,0.934784
0.538282,0.443232
0.220069,0.156431
0.440136,0.312861
