"tx","ty"
0.558688,0.26368
-0.323472,0.140965
-0.446607,0.234195
-0.623533,0.329844
-0.618386,0.335759
-0.613239,0.341675
-0.607924,0.347491
-0.602608,0.353307
-0.59969,0.360429
-0.597969,0.368205
-0.597126,0.376614
-0.598036,0.386289
-0.598945,0.395964
-0.342254,0.226265
-0.691038,0.543244
-0.589181,0.662663
-0.358811,0.471593
-0.897023,1.17898
-0.700822,0.971267
-0.175204,0.242814
-0.389847,0.600312
-0.620397,1.21025
-0.155098,0.302559
-0.056242,0.138442
-0.224966,0.553764
-0.393689,0.969085
-0.382384,0.971669
-0.371079,0.974253
-0.359836,0.976606
-0.348624,0.978845
-0.292413,0.840287
-0.146206,0.420143
-0.170377,0.616316
0.156443,0.642362
0.0489648,0.158916
0.195857,0.635656
0.342749,1.11239
0.355753,1.11181
0.368758,1.11122
0.381793,1.1101
0.394844,1.10871
0.345894,0.94953
0.172947,0.474764
0.403455,0.980068
0.906386,1.34615
0.226594,0.336533
0.32557,0.430823
0.813922,1.07705
0.488349,0.646226
0.333292,0.376926
0.833227,0.94231
0.537747,0.447239
0.220993,0.158088
0.441984,0.316174
0.517117,0.364257
0.519322,0.357339
