"tx","ty"
0.556881,0.27255
-0.352602,0.19008
-0.617051,0.332639
-0.611079,0.338092
-0.605107,0.343546
-0.601535,0.350295
-0.599164,0.357691
-0.59797,0.365781
-0.599131,0.375257
-0.600291,0.384733
-0.601043,0.394498
-0.601794,0.404264
-0.430031,0.291084
-0.699693,0.53417
-0.791841,1.06343
-0.197958,0.265854
-0.401461,0.599412
-0.42534,0.911496
-0.163796,0.416486
-0.327591,0.832971
-0.374523,0.973095
-0.363025,0.975043
-0.351903,0.978002
-0.341537,0.982988
-0.33117,0.987971
-0.18924,0.564554
-0.0473094,0.141137
-0.0816012,0.308576
-0.326401,1.23429
0.164679,0.958378
0.150398,0.476547
0.300794,0.953092
0.3596,1.11118
0.372612,1.11005
0.385793,1.10936
0.399312,1.10953
0.41283,1.10969
0.235902,0.63411
0.0589749,0.158526
0.163518,0.364588
0.654063,1.45833
0.654058,1.45832
0.163513,0.364576
0.666354,1.1578
0.256704,0.338348
0.330374,0.388532
0.825932,0.971325
0.534299,0.461907
0.367561,0.259616
0.515059,0.361004
0.516485,0.353633
0.517911,0.346261
0.521965,0.340814
0.526019,0.335367
0.532386,0.331396
0.539909,0.328164
