"tx","ty"
0.558791,0.268778
-0.64707,0.293609
-0.354561,0.192762
-0.620481,0.337332
-0.612883,0.341904
-0.605286,0.346476
-0.601424,0.353034
-0.59943,0.360585
-0.597963,0.368522
-0.59755,0.377229
-0.597138,0.385936
-0.60039,0.397307
-0.603642,0.408678
-0.431946,0.294619
-0.698135,0.536909
-0.705762,0.957054
-0.176439,0.239261
-0.398898,0.600177
-0.421207,0.911054
-0.16228,0.416965
-0.324558,0.833927
-0.371006,0.97425
-0.35954,0.976257
-0.301624,0.837936
-0.150812,0.418967
-0.177238,0.615568
-0.0960068,0.622637
-0.0728261,0.938433
0.150553,0.841745
0.0468868,0.159243
0.187545,0.636966
0.328202,1.11469
0.34093,1.11346
0.353658,1.11222
0.366585,1.11101
0.37961,1.10979
0.393111,1.10982
0.407561,1.11231
0.42201,1.11479
0.241148,0.637024
0.0602864,0.159254
0.283421,0.664673
0.425126,0.996996
0.415933,0.671731
0.466128,0.674274
0.162118,0.208908
0.648466,0.83562
0.719253,0.582765
0.179811,0.145689
0.369328,0.257408
0.517489,0.357889
0.518781,0.350448
0.520073,0.343006
0.524781,0.338049
0.52949,0.333092
0.535331,0.328807
