"tx","ty"
0.838659,0.409325
-0.504448,0.270872
-0.619839,0.337659
-0.610715,0.341522
-0.602989,0.346112
-0.60026,0.353294
-0.597531,0.360476
-0.596626,0.368725
-0.595955,0.377111
-0.596716,0.386596
-0.598627,0.396962
-0.54281,0.366345
-0.28547,0.192665
-0.391255,0.297686
-0.615238,0.743034
-0.484556,0.649639
-0.938823,1.25867
-0.404515,0.542328
-0.146973,0.218538
-0.752003,1.11818
-0.605269,1.28882
-0.176897,0.376672
-0.0967216,0.244369
-0.261481,0.660636
-0.381293,0.971257
-0.369831,0.97333
-0.35837,0.975404
-0.215982,0.589401
-0.0626841,0.171061
-0.22894,0.85816
-0.159395,0.994096
-0.0469449,0.561256
0.201191,1.16515
0.05546,0.321184
0.0695621,0.277387
0.311557,1.24237
0.333109,1.32831
0.0911144,0.363329
0.0937636,0.29738
0.24415,0.774344
0.354524,1.11203
0.367651,1.11121
0.380777,1.11038
0.394154,1.11013
0.407542,1.1099
0.301517,0.811161
0.124617,0.335253
0.121822,0.290291
0.53401,1.2725
0.564044,1.34407
0.151857,0.361861
0.40297,0.699285
0.707178,1.03559
0.474016,0.618797
0.903406,0.741405
0.364416,0.299068
