"tx","ty"
0.558772,0.264839
-0.323085,0.140063
-0.44832,0.234003
-0.625793,0.329539
-0.620232,0.335348
-0.614672,0.341156
-0.608991,0.346773
-0.603311,0.35239
-0.600036,0.359296
-0.597965,0.366848
-0.596671,0.374924
-0.596933,0.384047
-0.597195,0.39317
-0.604349,0.407077
-0.611502,0.420985
-0.438489,0.304014
-0.692896,0.542263
-0.700855,0.966306
-0.175212,0.241574
-0.392421,0.600682
-0.62586,1.21193
-0.156464,0.30298
-0.0567654,0.138538
-0.227059,0.554145
-0.397353,0.96975
-0.38573,0.971575
-0.374108,0.973399
-0.362669,0.975253
-0.351322,0.977121
-0.294649,0.838597
-0.147324,0.419298
-0.17247,0.616031
0.151096,0.642467
0.0476245,0.159024
0.190496,0.63609
0.333366,1.11315
0.346355,1.11268
0.359344,1.1122
0.372281,1.11122
0.385191,1.10999
0.337541,0.950712
0.16877,0.475355
0.316512,0.735042
0.474762,1.10255
0.213878,0.384856
0.213871,0.384844
0.420191,0.672447
0.888934,1.34542
0.222231,0.336352
0.317766,0.428457
0.79441,1.07114
0.476642,0.642677
0.331469,0.381942
0.828668,0.95485
0.536847,0.454977
0.219903,0.161055
