"tx","ty"
0.558189,0.261215
-0.323495,0.140555
-0.446416,0.23456
-0.622501,0.329959
-0.615065,0.334689
-0.607628,0.339418
-0.60533,0.346848
-0.603033,0.354279
-0.600624,0.361648
-0.598159,0.368985
-0.596833,0.377079
-0.597781,0.386685
-0.598729,0.39629
-0.34213,0.226451
-0.236859,0.176871
-0.587396,0.661382
-0.358381,0.471561
-0.895948,1.1789
-0.697285,0.967477
-0.17432,0.241867
-0.389489,0.600119
-0.291491,0.606435
-0.157571,0.418309
-0.315141,0.836616
-0.360011,0.977301
-0.348534,0.979179
-0.341348,0.993379
-0.342744,1.03222
-0.34414,1.07107
-0.196651,0.612038
-0.0491623,0.153008
-0.0769861,0.309134
-0.307941,1.23652
0.155283,0.642937
0.0487031,0.159146
0.19481,0.636575
0.340917,1.114
0.353662,1.11263
0.366407,1.11125
0.264753,0.793419
0.105901,0.317366
0.401096,0.979646
0.639334,1.0084
0.320679,0.426281
0.801695,1.0657
0.537099,0.448686
0.220648,0.159301
0.441295,0.318602
0.515422,0.366404
0.516289,0.358459
0.518244,0.351351
0.522371,0.345918
0.526497,0.340484
0.530818,0.335225
0.535139,0.329966
0.54158,0.325953
