"tx","ty"
0.558285,0.268347
-0.323348,0.140176
-0.447937,0.234736
-0.624504,0.330145
-0.616688,0.334693
-0.608871,0.339242
-0.606207,0.346466
-0.603543,0.353691
-0.601018,0.360992
-0.598562,0.368333
-0.597125,0.376349
-0.597726,0.385718
-0.598328,0.395086
-0.608316,0.410905
-0.618304,0.426723
-0.444023,0.308568
-0.451666,0.37336
-0.588943,0.660579
-0.359755,0.471232
-0.899385,1.17808
-0.700064,0.966879
-0.175014,0.241717
-0.39111,0.599746
-0.293228,0.606232
-0.158825,0.417834
-0.317649,0.835667
-0.362942,0.976217
-0.35147,0.978129
-0.343888,0.991141
-0.344086,1.02635
-0.344283,1.06157
-0.196733,0.606608
-0.0491828,0.15165
-0.0780673,0.309157
-0.312266,1.23662
0.154582,0.643106
0.0484879,0.159062
0.193949,0.636241
0.33941,1.11342
0.352281,1.11246
0.365153,1.11151
0.263887,0.793708
0.105554,0.317482
0.320287,0.732782
0.681399,1.45711
0.170348,0.364274
0.213414,0.378894
0.637637,1.00694
0.320103,0.425999
0.800255,1.06499
0.537305,0.449107
0.220648,0.159301
0.441295,0.318602
0.515186,0.366243
0.5157,0.358056
0.517536,0.350867
