"tx","ty"
0.558854,0.263573
-0.504253,0.265652
-0.620522,0.331666
-0.613076,0.336389
-0.606753,0.341705
-0.604446,0.349138
-0.602139,0.35657
-0.600006,0.364122
-0.597895,0.371689
-0.597473,0.380396
-0.598405,0.390018
-0.541921,0.359541
-0.285002,0.189086
-0.396412,0.29652
-0.448449,0.505767
-0.487444,0.642111
-0.571625,0.794037
-0.532055,0.820763
-0.617979,1.28748
-0.180612,0.376281
-0.197732,0.52536
-0.355278,0.943952
-0.356796,0.977881
-0.345311,0.979756
-0.341125,1.00253
-0.341987,1.03977
-0.304556,0.948759
-0.157631,0.491056
-0.137531,0.55225
-0.36862,1.48018
0.319225,1.32807
0.0873168,0.363264
0.0906644,0.297711
0.23608,0.775205
0.342861,1.11323
0.35574,1.11228
0.368619,1.11133
0.217254,0.654042
0.0589592,0.177497
0.462489,1.06049
0.526796,1.12891
0.410805,0.731204
0.44103,0.69899
0.469575,0.627408
0.812496,1.08559
0.331232,0.442565
0.153696,0.184799
0.646715,0.77759
0.899601,0.75611
0.362881,0.305
0.292569,0.21159
0.513561,0.371415
0.515872,0.364574
0.5164,0.356374
0.519307,0.349999
0.523441,0.344566
